deals.id,deals.cat_id,deals.fee_curr_id,deals.name,deals.name2,deals.show_text,deals.wants,deals.used,deals.is_shop,deals.not_gifted,deals.url,deals.my_client,deals.icon,deals.img,deals.template_,deals.calcs_,deals.min_pay,deals.max_pay,deals.fee,deals.tax,deals.fee_min,deals.fee_max,deals.average_,deals.count_
407,9,2,Перевод на счет физического лица в банке ТрансКред,Perevod na schet fizicheskogo lica v banke TransKr,<NULL>,204,False,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0412\u044b\u0431\u0435\u0440\u0438\u0442\u0435 \u043f\u043e\u0434\u0440\u0430\u0437\u0434\u0435\u043b\u0435\u043d\u0438\u0435 \u0431\u0430\u043d\u043a\u0430:"", ""n"": ""acc1""}, {""l"": ""\u0424\u0430\u043c\u0438\u043b\u0438\u044f \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc2""}, {""l"": ""\u0418\u043c\u044f \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc3""}, {""l"": ""\u041e\u0442\u0447\u0435\u0441\u0442\u0432\u043e \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc4""}, {""l"": ""\u0420\u0430\u0441\u0447\u0435\u0442\u043d\u044b\u0439 \u0441\u0447\u0435\u0442 \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc5""}, {""l"": ""\u0418\u041d\u041d \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc6""}, {""l"": ""Email \u0434\u043b\u044f \u0441\u0432\u044f\u0437\u0438:"", ""n"": ""acc7""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
408,1,2,Горком,Gorkom,<NULL>,104,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0412\u0430\u0448 \u043b\u0438\u0446\u0435\u0432\u043e\u0439 \u0441\u0447\u0435\u0442:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
409,1,2,Пыр2Пыр,Pyr2Pyr,<NULL>,100,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u0430\u0437\u043d\u0430\u0447\u0435\u043d\u0438\u0435 \u043f\u043b\u0430\u0442\u0435\u0436\u0430:"", ""n"": ""acc1""}, {""l"": ""\u043f\u0435\u0440\u0435\u0432\u043e\u0434 \u043d\u0430 email"", ""n"": ""acc2""}, {""l"": ""Email \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc3""}, {""l"": ""\u2116 \u0441\u0447\u0435\u0442\u0430 \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044f:"", ""n"": ""acc4""}, {""l"": ""C\u043e\u043e\u0431\u0449\u0435\u043d\u0438\u0435 \u043f\u043e\u043b\u0443\u0447\u0430\u0442\u0435\u043b\u044e:"", ""n"": ""acc5""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
410,1,2,Тест non\js pda,Test non\js pda,<NULL>,86,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430:""}, {""l"": "" (916)"", ""n"": ""acc1""}, {""l"": "" (1234567)"", ""n"": ""acc2""}, {""l"": ""\u0412\u043b\u0430\u0434\u0435\u043b\u0435\u0446 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u043d\u043e\u0433\u043e \u043d\u043e\u043c\u0435\u0440\u0430:"", ""n"": ""acc3""}, {""l"": ""\u0421\u0443\u043c\u043c\u0430:"", ""n"": ""acc4""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
411,2,2,"World of Warcraft - тайм-карта 60 дней, европейска","World of Warcraft - taym-karta 60 dnyay, evropyays",<NULL>,254,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
412,1,2,Домолинк - Тула,Domolink - Tula,<NULL>,97,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043b\u0438\u0446\u0435\u0432\u043e\u0433\u043e \u0441\u0447\u0435\u0442\u0430: (12 \u0441\u0438\u043c\u0432\u043e\u043b\u043e\u0432)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
413,3,2,Ростелеком - Центр. Тула,Rostelekom - Centr. Tula,<NULL>,279,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430: (487xxxxxxx)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
414,1,2,Пополнение карты СТК,Popolnenie karty STK,<NULL>,97,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043a\u0430\u0440\u0442\u044b:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
415,1,2,А-Тел,A-Tel,<NULL>,102,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u041d\u043e\u043c\u0435\u0440 \u043a\u0430\u0440\u0442\u044b: (\u043e\u0442 1 \u0434\u043e 9 \u0446\u0438\u0444\u0440)"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
416,2,2,"World of Warcraft - активационный ключ, европейска","World of Warcraft - aktivacionnyy klyuch, evropyay",<NULL>,272,True,<NULL>,False,<NULL>,False,<NULL>,<NULL>,"[{""l"": ""\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u0432 \u043f\u0440\u043e\u0434\u0430\u0436\u0435:"", ""n"": ""acc1""}]",<NULL>,13.00,1777.00,0E-8,<NULL>,<NULL>,<NULL>,0E-8,0
